family,tuning_size,combination_count,panel,metric,mean,population_sd,descriptive_ci95_low,descriptive_ci95_high
exhaustive_1f,1,7,smc_fold0,beat_fmeasure,0.6547418267638508,0.0029756232266214466,0.6524214320299105,0.6568025048788316
exhaustive_1f,1,7,smc_fold0,beat_cmlt,0.6207222319952138,0.009059110262307156,0.6138050007093643,0.6271940606578025
exhaustive_1f,1,7,smc_fold0,beat_amlt,0.7473776957284054,0.00833641566010269,0.7411579333669748,0.7532280069245517
exhaustive_1f,1,7,gtzan_final1,beat_fmeasure,0.8955015538243496,0.00027040065794108775,0.8952976237306517,0.8956943285091684
exhaustive_1f,1,7,gtzan_final1,beat_cmlt,0.8092706450532514,0.001932305699068325,0.807860621574947,0.810674771124185
exhaustive_1f,1,7,gtzan_final1,beat_amlt,0.9032991019363132,0.0022707549852651527,0.9015989833707384,0.9049865410380243
exhaustive_1f,1,7,gtzan_final1,downbeat_fmeasure,0.791560630895692,0.0011129340266279885,0.7907262659092879,0.7923292574266958
exhaustive_1f,1,7,gtzan_final1,downbeat_cmlt,0.7148458922574535,0.0009810380671861497,0.7140801145284498,0.7155290516511519
exhaustive_1f,1,7,gtzan_final1,downbeat_amlt,0.8508630514915926,0.002811082016249917,0.8488569649916486,0.8529363028809527
exhaustive_2f,2,21,smc_fold0,beat_fmeasure,0.6558255226943219,0.002253322309357823,0.6548760239801348,0.6568008667793107
exhaustive_2f,2,21,smc_fold0,beat_cmlt,0.6241414026398994,0.005610365159266147,0.6217242003463074,0.6265139183549218
exhaustive_2f,2,21,smc_fold0,beat_amlt,0.7523068736939671,0.004467375086857042,0.7501870151487414,0.7539956463166098
exhaustive_2f,2,21,gtzan_final1,beat_fmeasure,0.8955628840008413,0.00017841538076355748,0.8954830874386187,0.8956351502012371
exhaustive_2f,2,21,gtzan_final1,beat_cmlt,0.8097649088293624,0.0011037142031007157,0.8092815467035702,0.8102303101871293
exhaustive_2f,2,21,gtzan_final1,beat_amlt,0.9039608354775659,0.0013916366764847542,0.9033540826427197,0.9045433526812701
exhaustive_2f,2,21,gtzan_final1,downbeat_fmeasure,0.7921699738442998,0.0006834871210223381,0.791851522066483,0.7924359397516089
exhaustive_2f,2,21,gtzan_final1,downbeat_cmlt,0.7155224407559085,0.0009024955641544038,0.7151402424504144,0.7159108535105982
exhaustive_2f,2,21,gtzan_final1,downbeat_amlt,0.8514660329898873,0.00152650313371163,0.8507955333960336,0.8521010738674795
exhaustive_4f,4,35,smc_fold0,beat_fmeasure,0.6569820200764204,0.0018813135913757061,0.6563687134930778,0.6576161103255673
exhaustive_4f,4,35,smc_fold0,beat_cmlt,0.6269158640330513,0.004521584783317321,0.6254511621375509,0.628448854399203
exhaustive_4f,4,35,smc_fold0,beat_amlt,0.7547075782163272,0.003015678587811289,0.7537187511839469,0.7557127180501502
exhaustive_4f,4,35,gtzan_final1,beat_fmeasure,0.8955065533321575,0.00017393538485845523,0.8954488174642812,0.8955639037193649
exhaustive_4f,4,35,gtzan_final1,beat_cmlt,0.8102363695946233,0.000736014285743453,0.8099956861173464,0.8104839429889378
exhaustive_4f,4,35,gtzan_final1,beat_amlt,0.9046527598363104,0.0010868733831533783,0.9042939523839735,0.9050143791520608
exhaustive_4f,4,35,gtzan_final1,downbeat_fmeasure,0.7918147108607451,0.0006227129593514478,0.791604120948273,0.792013446727275
exhaustive_4f,4,35,gtzan_final1,downbeat_cmlt,0.7153458607381411,0.0006743493092917019,0.7151312357260112,0.7155769718879202
exhaustive_4f,4,35,gtzan_final1,downbeat_amlt,0.8521408201175528,0.0013252215473181725,0.8517112197929577,0.8525893129180823
exhaustive_7f,7,1,smc_fold0,beat_fmeasure,0.6576139596187013,,,
exhaustive_7f,7,1,smc_fold0,beat_cmlt,0.6292443559606539,,,
exhaustive_7f,7,1,smc_fold0,beat_amlt,0.7589673472276187,,,
exhaustive_7f,7,1,gtzan_final1,beat_fmeasure,0.8953434153195664,,,
exhaustive_7f,7,1,gtzan_final1,beat_cmlt,0.810632483679285,,,
exhaustive_7f,7,1,gtzan_final1,beat_amlt,0.9055207788131414,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_fmeasure,0.7908669649274853,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_cmlt,0.7147934068928179,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_amlt,0.8525365103160152,,,
