case,source,event_type,time_seconds
gtzan_blues_00023,GroundTruth,beat,0.150000000
gtzan_blues_00023,GroundTruth,beat,0.794000000
gtzan_blues_00023,GroundTruth,beat,1.415000000
gtzan_blues_00023,GroundTruth,beat,2.030000000
gtzan_blues_00023,GroundTruth,beat,2.651000000
gtzan_blues_00023,GroundTruth,beat,3.273000000
gtzan_blues_00023,GroundTruth,beat,3.888000000
gtzan_blues_00023,GroundTruth,beat,4.515000000
gtzan_blues_00023,GroundTruth,beat,5.130000000
gtzan_blues_00023,GroundTruth,beat,5.740000000
gtzan_blues_00023,GroundTruth,beat,6.355000000
gtzan_blues_00023,GroundTruth,beat,6.970000000
gtzan_blues_00023,GroundTruth,beat,7.545000000
gtzan_blues_00023,GroundTruth,beat,8.155000000
gtzan_blues_00023,GroundTruth,beat,8.776000000
gtzan_blues_00023,GroundTruth,beat,9.403000000
gtzan_blues_00023,GroundTruth,beat,10.030000000
gtzan_blues_00023,GroundTruth,beat,10.651000000
gtzan_blues_00023,GroundTruth,beat,11.278000000
gtzan_blues_00023,GroundTruth,beat,11.905000000
gtzan_blues_00023,GroundTruth,beat,12.508000000
gtzan_blues_00023,GroundTruth,beat,13.100000000
gtzan_blues_00023,GroundTruth,beat,13.716000000
gtzan_blues_00023,GroundTruth,beat,14.331000000
gtzan_blues_00023,GroundTruth,beat,14.952000000
gtzan_blues_00023,GroundTruth,beat,15.573000000
gtzan_blues_00023,GroundTruth,beat,16.189000000
gtzan_blues_00023,GroundTruth,beat,16.746000000
gtzan_blues_00023,GroundTruth,beat,17.361000000
gtzan_blues_00023,GroundTruth,beat,17.994000000
gtzan_blues_00023,GroundTruth,beat,18.615000000
gtzan_blues_00023,GroundTruth,beat,19.236000000
gtzan_blues_00023,GroundTruth,beat,19.857000000
gtzan_blues_00023,GroundTruth,beat,20.473000000
gtzan_blues_00023,GroundTruth,beat,21.094000000
gtzan_blues_00023,GroundTruth,beat,21.721000000
gtzan_blues_00023,GroundTruth,beat,22.383000000
gtzan_blues_00023,GroundTruth,beat,23.085000000
gtzan_blues_00023,GroundTruth,beat,23.706000000
gtzan_blues_00023,GroundTruth,beat,24.327000000
gtzan_blues_00023,GroundTruth,beat,24.948000000
gtzan_blues_00023,GroundTruth,beat,25.575000000
gtzan_blues_00023,GroundTruth,beat,26.202000000
