case,source,midpoint_seconds,ibi_seconds
gtzan_blues_00023,GroundTruth,0.472000000,0.644000000
gtzan_blues_00023,GroundTruth,1.104500000,0.621000000
gtzan_blues_00023,GroundTruth,1.722500000,0.615000000
gtzan_blues_00023,GroundTruth,2.340500000,0.621000000
gtzan_blues_00023,GroundTruth,2.962000000,0.622000000
gtzan_blues_00023,GroundTruth,3.580500000,0.615000000
gtzan_blues_00023,GroundTruth,4.201500000,0.627000000
gtzan_blues_00023,GroundTruth,4.822500000,0.615000000
gtzan_blues_00023,GroundTruth,5.435000000,0.610000000
gtzan_blues_00023,GroundTruth,6.047500000,0.615000000
gtzan_blues_00023,GroundTruth,6.662500000,0.615000000
gtzan_blues_00023,GroundTruth,7.257500000,0.575000000
gtzan_blues_00023,GroundTruth,7.850000000,0.610000000
gtzan_blues_00023,GroundTruth,8.465500000,0.621000000
gtzan_blues_00023,GroundTruth,9.089500000,0.627000000
gtzan_blues_00023,GroundTruth,9.716500000,0.627000000
gtzan_blues_00023,GroundTruth,10.340500000,0.621000000
gtzan_blues_00023,GroundTruth,10.964500000,0.627000000
gtzan_blues_00023,GroundTruth,11.591500000,0.627000000
gtzan_blues_00023,GroundTruth,12.206500000,0.603000000
gtzan_blues_00023,GroundTruth,12.804000000,0.592000000
gtzan_blues_00023,GroundTruth,13.408000000,0.616000000
gtzan_blues_00023,GroundTruth,14.023500000,0.615000000
gtzan_blues_00023,GroundTruth,14.641500000,0.621000000
gtzan_blues_00023,GroundTruth,15.262500000,0.621000000
gtzan_blues_00023,GroundTruth,15.881000000,0.616000000
gtzan_blues_00023,GroundTruth,16.467500000,0.557000000
gtzan_blues_00023,GroundTruth,17.053500000,0.615000000
gtzan_blues_00023,GroundTruth,17.677500000,0.633000000
gtzan_blues_00023,GroundTruth,18.304500000,0.621000000
gtzan_blues_00023,GroundTruth,18.925500000,0.621000000
gtzan_blues_00023,GroundTruth,19.546500000,0.621000000
gtzan_blues_00023,GroundTruth,20.165000000,0.616000000
gtzan_blues_00023,GroundTruth,20.783500000,0.621000000
gtzan_blues_00023,GroundTruth,21.407500000,0.627000000
gtzan_blues_00023,GroundTruth,22.052000000,0.662000000
gtzan_blues_00023,GroundTruth,22.734000000,0.702000000
gtzan_blues_00023,GroundTruth,23.395500000,0.621000000
gtzan_blues_00023,GroundTruth,24.016500000,0.621000000
gtzan_blues_00023,GroundTruth,24.637500000,0.621000000
gtzan_blues_00023,GroundTruth,25.261500000,0.627000000
gtzan_blues_00023,GroundTruth,25.888500000,0.627000000
gtzan_blues_00023,GroundTruth,26.512500000,0.621000000
gtzan_blues_00023,GroundTruth,27.131000000,0.616000000
gtzan_blues_00023,GroundTruth,27.752500000,0.627000000
gtzan_blues_00023,GroundTruth,28.382000000,0.632000000
gtzan_blues_00023,GroundTruth,29.009000000,0.622000000
gtzan_blues_00023,GroundTruth,29.624500000,0.609000000
gtzan_blues_00023,Direct,0.500000000,0.600000000
gtzan_blues_00023,Direct,1.100000000,0.600000000
gtzan_blues_00023,Direct,1.710000000,0.620000000
gtzan_blues_00023,Direct,2.330000000,0.620000000
gtzan_blues_00023,Direct,2.950000000,0.620000000
gtzan_blues_00023,Direct,3.570000000,0.620000000
gtzan_blues_00023,Direct,4.200000000,0.640000000
gtzan_blues_00023,Direct,4.830000000,0.620000000
gtzan_blues_00023,Direct,5.440000000,0.600000000
gtzan_blues_00023,Direct,6.050000000,0.620000000
gtzan_blues_00023,Direct,6.670000000,0.620000000
gtzan_blues_00023,Direct,7.290000000,0.620000000
gtzan_blues_00023,Direct,7.910000000,0.620000000
gtzan_blues_00023,Direct,8.530000000,0.620000000
gtzan_blues_00023,Direct,9.140000000,0.600000000
gtzan_blues_00023,Direct,9.740000000,0.600000000
gtzan_blues_00023,Direct,10.340000000,0.600000000
gtzan_blues_00023,Direct,10.950000000,0.620000000
gtzan_blues_00023,Direct,11.560000000,0.600000000
gtzan_blues_00023,Direct,12.180000000,0.640000000
gtzan_blues_00023,Direct,12.810000000,0.620000000
gtzan_blues_00023,Direct,13.440000000,0.640000000
gtzan_blues_00023,Direct,14.080000000,0.640000000
gtzan_blues_00023,Direct,14.700000000,0.600000000
gtzan_blues_00023,Direct,15.310000000,0.620000000
gtzan_blues_00023,Direct,15.910000000,0.580000000
gtzan_blues_00023,Direct,16.510000000,0.620000000
gtzan_blues_00023,Direct,17.130000000,0.620000000
gtzan_blues_00023,Direct,17.740000000,0.600000000
gtzan_blues_00023,Direct,18.350000000,0.620000000
gtzan_blues_00023,Direct,18.960000000,0.600000000
gtzan_blues_00023,Direct,19.560000000,0.600000000
gtzan_blues_00023,Direct,20.160000000,0.600000000
gtzan_blues_00023,Direct,20.770000000,0.620000000
gtzan_blues_00023,Direct,21.390000000,0.620000000
gtzan_blues_00023,Direct,22.020000000,0.640000000
gtzan_blues_00023,Direct,22.650000000,0.620000000
gtzan_blues_00023,Direct,23.270000000,0.620000000
gtzan_blues_00023,Direct,23.890000000,0.620000000
gtzan_blues_00023,Direct,24.500000000,0.600000000
gtzan_blues_00023,Direct,25.110000000,0.620000000
gtzan_blues_00023,Direct,25.720000000,0.600000000
gtzan_blues_00023,Direct,26.170000000,0.300000000
gtzan_blues_00023,Direct,26.470000000,0.300000000
gtzan_blues_00023,Direct,26.770000000,0.300000000
gtzan_blues_00023,Direct,27.070000000,0.300000000
gtzan_blues_00023,Direct,27.380000000,0.320000000
gtzan_blues_00023,Direct,27.840000000,0.600000000
gtzan_blues_00023,Direct,28.290000000,0.300000000
gtzan_blues_00023,Direct,28.600000000,0.320000000
gtzan_blues_00023,Direct,29.050000000,0.580000000
gtzan_blues_00023,Direct,29.650000000,0.620000000
gtzan_blues_00023,Fixed Semi-Markov,0.500000000,0.600000000
gtzan_blues_00023,Fixed Semi-Markov,1.100000000,0.600000000
gtzan_blues_00023,Fixed Semi-Markov,1.710000000,0.620000000
gtzan_blues_00023,Fixed Semi-Markov,2.330000000,0.620000000
gtzan_blues_00023,Fixed Semi-Markov,2.950000000,0.620000000
gtzan_blues_00023,Fixed Semi-Markov,3.570000000,0.620000000
gtzan_blues_00023,Fixed Semi-Markov,4.200000000,0.640000000
gtzan_blues_00023,Fixed Semi-Markov,4.830000000,0.620000000
