case,source,event_type,time_seconds
gtzan_metal_00026,GroundTruth,beat,0.093000000
gtzan_metal_00026,GroundTruth,beat,0.319000000
gtzan_metal_00026,GroundTruth,beat,0.536000000
gtzan_metal_00026,GroundTruth,beat,0.770000000
gtzan_metal_00026,GroundTruth,beat,0.991000000
gtzan_metal_00026,GroundTruth,beat,1.218000000
gtzan_metal_00026,GroundTruth,beat,1.444000000
gtzan_metal_00026,GroundTruth,beat,1.670000000
gtzan_metal_00026,GroundTruth,beat,1.891000000
gtzan_metal_00026,GroundTruth,beat,2.112000000
gtzan_metal_00026,GroundTruth,beat,2.338000000
gtzan_metal_00026,GroundTruth,beat,2.564000000
gtzan_metal_00026,GroundTruth,beat,2.788000000
gtzan_metal_00026,GroundTruth,beat,3.011000000
gtzan_metal_00026,GroundTruth,beat,3.232000000
gtzan_metal_00026,GroundTruth,beat,3.453000000
gtzan_metal_00026,GroundTruth,beat,3.676000000
gtzan_metal_00026,GroundTruth,beat,3.900000000
gtzan_metal_00026,GroundTruth,beat,4.129000000
gtzan_metal_00026,GroundTruth,beat,4.358000000
gtzan_metal_00026,GroundTruth,beat,4.587000000
gtzan_metal_00026,GroundTruth,beat,4.817000000
gtzan_metal_00026,GroundTruth,beat,5.052000000
gtzan_metal_00026,GroundTruth,beat,5.287000000
gtzan_metal_00026,GroundTruth,beat,5.513000000
gtzan_metal_00026,GroundTruth,beat,5.740000000
gtzan_metal_00026,GroundTruth,beat,5.972000000
gtzan_metal_00026,GroundTruth,beat,6.204000000
gtzan_metal_00026,GroundTruth,beat,6.433000000
gtzan_metal_00026,GroundTruth,beat,6.663000000
gtzan_metal_00026,GroundTruth,beat,6.892000000
gtzan_metal_00026,GroundTruth,beat,7.121000000
gtzan_metal_00026,GroundTruth,beat,7.348000000
gtzan_metal_00026,GroundTruth,beat,7.574000000
gtzan_metal_00026,GroundTruth,beat,7.801000000
gtzan_metal_00026,GroundTruth,beat,8.027000000
gtzan_metal_00026,GroundTruth,beat,8.259000000
gtzan_metal_00026,GroundTruth,beat,8.491000000
gtzan_metal_00026,GroundTruth,beat,8.718000000
gtzan_metal_00026,GroundTruth,beat,8.944000000
gtzan_metal_00026,GroundTruth,beat,9.170000000
