case,source,midpoint_seconds,ibi_seconds
gtzan_metal_00026,GroundTruth,0.206000000,0.226000000
gtzan_metal_00026,GroundTruth,0.427500000,0.217000000
gtzan_metal_00026,GroundTruth,0.653000000,0.234000000
gtzan_metal_00026,GroundTruth,0.880500000,0.221000000
gtzan_metal_00026,GroundTruth,1.104500000,0.227000000
gtzan_metal_00026,GroundTruth,1.331000000,0.226000000
gtzan_metal_00026,GroundTruth,1.557000000,0.226000000
gtzan_metal_00026,GroundTruth,1.780500000,0.221000000
gtzan_metal_00026,GroundTruth,2.001500000,0.221000000
gtzan_metal_00026,GroundTruth,2.225000000,0.226000000
gtzan_metal_00026,GroundTruth,2.451000000,0.226000000
gtzan_metal_00026,GroundTruth,2.676000000,0.224000000
gtzan_metal_00026,GroundTruth,2.899500000,0.223000000
gtzan_metal_00026,GroundTruth,3.121500000,0.221000000
gtzan_metal_00026,GroundTruth,3.342500000,0.221000000
gtzan_metal_00026,GroundTruth,3.564500000,0.223000000
gtzan_metal_00026,GroundTruth,3.788000000,0.224000000
gtzan_metal_00026,GroundTruth,4.014500000,0.229000000
gtzan_metal_00026,GroundTruth,4.243500000,0.229000000
gtzan_metal_00026,GroundTruth,4.472500000,0.229000000
gtzan_metal_00026,GroundTruth,4.702000000,0.230000000
gtzan_metal_00026,GroundTruth,4.934500000,0.235000000
gtzan_metal_00026,GroundTruth,5.169500000,0.235000000
gtzan_metal_00026,GroundTruth,5.400000000,0.226000000
gtzan_metal_00026,GroundTruth,5.626500000,0.227000000
gtzan_metal_00026,GroundTruth,5.856000000,0.232000000
gtzan_metal_00026,GroundTruth,6.088000000,0.232000000
gtzan_metal_00026,GroundTruth,6.318500000,0.229000000
gtzan_metal_00026,GroundTruth,6.548000000,0.230000000
gtzan_metal_00026,GroundTruth,6.777500000,0.229000000
gtzan_metal_00026,GroundTruth,7.006500000,0.229000000
gtzan_metal_00026,GroundTruth,7.234500000,0.227000000
gtzan_metal_00026,GroundTruth,7.461000000,0.226000000
gtzan_metal_00026,GroundTruth,7.687500000,0.227000000
gtzan_metal_00026,GroundTruth,7.914000000,0.226000000
gtzan_metal_00026,GroundTruth,8.143000000,0.232000000
gtzan_metal_00026,GroundTruth,8.375000000,0.232000000
gtzan_metal_00026,GroundTruth,8.604500000,0.227000000
gtzan_metal_00026,GroundTruth,8.831000000,0.226000000
gtzan_metal_00026,GroundTruth,9.057000000,0.226000000
gtzan_metal_00026,GroundTruth,9.283500000,0.227000000
gtzan_metal_00026,GroundTruth,9.510000000,0.226000000
gtzan_metal_00026,GroundTruth,9.736500000,0.227000000
gtzan_metal_00026,GroundTruth,9.964500000,0.229000000
gtzan_metal_00026,GroundTruth,10.193500000,0.229000000
gtzan_metal_00026,GroundTruth,10.420000000,0.224000000
gtzan_metal_00026,GroundTruth,10.643500000,0.223000000
gtzan_metal_00026,GroundTruth,10.870000000,0.230000000
gtzan_metal_00026,GroundTruth,11.099500000,0.229000000
gtzan_metal_00026,GroundTruth,11.328500000,0.229000000
gtzan_metal_00026,GroundTruth,11.557500000,0.229000000
gtzan_metal_00026,GroundTruth,11.787000000,0.230000000
gtzan_metal_00026,GroundTruth,12.016500000,0.229000000
gtzan_metal_00026,GroundTruth,12.244000000,0.226000000
gtzan_metal_00026,GroundTruth,12.470500000,0.227000000
gtzan_metal_00026,GroundTruth,12.698500000,0.229000000
gtzan_metal_00026,GroundTruth,12.927500000,0.229000000
gtzan_metal_00026,GroundTruth,13.155500000,0.227000000
gtzan_metal_00026,GroundTruth,13.382000000,0.226000000
