case,time_seconds,casm_local_tau_seconds,tempo_bpm,reliability_proxy,fixed_global_tau_seconds
gtzan_metal_00026,0.060000000,0.220000000,272.727000000,0.056490000,0.240000000
gtzan_metal_00026,0.320000000,0.220000000,272.727000000,0.049980000,0.240000000
gtzan_metal_00026,0.540000000,0.220000000,272.727000000,0.047100000,0.240000000
gtzan_metal_00026,0.780000000,0.220000000,272.727000000,0.047070000,0.240000000
gtzan_metal_00026,1.000000000,0.220000000,272.727000000,0.047070000,0.240000000
gtzan_metal_00026,1.240000000,0.220000000,272.727000000,0.046160000,0.240000000
gtzan_metal_00026,1.460000000,0.220000000,272.727000000,0.040600000,0.240000000
gtzan_metal_00026,1.700000000,0.220000000,272.727000000,0.040390000,0.240000000
gtzan_metal_00026,1.920000000,0.220000000,272.727000000,0.040390000,0.240000000
gtzan_metal_00026,2.080000000,0.220000000,272.727000000,0.035640000,0.240000000
gtzan_metal_00026,2.140000000,0.220000000,272.727000000,0.035630000,0.240000000
gtzan_metal_00026,2.360000000,0.220000000,272.727000000,0.031110000,0.240000000
gtzan_metal_00026,2.600000000,0.220000000,272.727000000,0.025980000,0.240000000
gtzan_metal_00026,2.800000000,0.220000000,272.727000000,0.024780000,0.240000000
gtzan_metal_00026,3.040000000,0.220000000,272.727000000,0.019870000,0.240000000
gtzan_metal_00026,3.260000000,0.220000000,272.727000000,0.016910000,0.240000000
gtzan_metal_00026,3.480000000,0.220000000,272.727000000,0.015150000,0.240000000
gtzan_metal_00026,3.720000000,0.220000000,272.727000000,0.010730000,0.240000000
gtzan_metal_00026,3.940000000,0.220000000,272.727000000,0.010730000,0.240000000
gtzan_metal_00026,4.160000000,0.460000000,130.435000000,0.010730000,0.240000000
gtzan_metal_00026,4.380000000,0.460000000,130.435000000,0.018870000,0.240000000
gtzan_metal_00026,4.600000000,0.460000000,130.435000000,0.025370000,0.240000000
gtzan_metal_00026,4.820000000,0.460000000,130.435000000,0.032540000,0.240000000
gtzan_metal_00026,5.040000000,0.460000000,130.435000000,0.041500000,0.240000000
gtzan_metal_00026,5.280000000,0.460000000,130.435000000,0.045240000,0.240000000
gtzan_metal_00026,5.520000000,0.460000000,130.435000000,0.052490000,0.240000000
gtzan_metal_00026,5.740000000,0.460000000,130.435000000,0.056650000,0.240000000
gtzan_metal_00026,5.960000000,0.460000000,130.435000000,0.061050000,0.240000000
gtzan_metal_00026,6.200000000,0.460000000,130.435000000,0.066970000,0.240000000
gtzan_metal_00026,6.420000000,0.460000000,130.435000000,0.071360000,0.240000000
gtzan_metal_00026,6.660000000,0.460000000,130.435000000,0.078200000,0.240000000
gtzan_metal_00026,6.880000000,0.460000000,130.435000000,0.078200000,0.240000000
gtzan_metal_00026,7.120000000,0.460000000,130.435000000,0.079460000,0.240000000
gtzan_metal_00026,7.340000000,0.460000000,130.435000000,0.079460000,0.240000000
gtzan_metal_00026,7.580000000,0.460000000,130.435000000,0.079460000,0.240000000
gtzan_metal_00026,7.800000000,0.460000000,130.435000000,0.079820000,0.240000000
gtzan_metal_00026,8.040000000,0.460000000,130.435000000,0.081150000,0.240000000
gtzan_metal_00026,8.260000000,0.460000000,130.435000000,0.082100000,0.240000000
gtzan_metal_00026,8.480000000,0.460000000,130.435000000,0.087100000,0.240000000
gtzan_metal_00026,8.720000000,0.460000000,130.435000000,0.089630000,0.240000000
gtzan_metal_00026,8.880000000,0.460000000,130.435000000,0.090660000,0.240000000
gtzan_metal_00026,8.940000000,0.460000000,130.435000000,0.090710000,0.240000000
gtzan_metal_00026,9.180000000,0.460000000,130.435000000,0.096240000,0.240000000
