case,source,event_type,time_seconds
gtzan_pop_00053,GroundTruth,beat,0.039000000
gtzan_pop_00053,GroundTruth,beat,0.994000000
gtzan_pop_00053,GroundTruth,beat,1.942000000
gtzan_pop_00053,GroundTruth,beat,2.892000000
gtzan_pop_00053,GroundTruth,beat,3.842000000
gtzan_pop_00053,GroundTruth,beat,4.783000000
gtzan_pop_00053,GroundTruth,beat,5.725000000
gtzan_pop_00053,GroundTruth,beat,6.672000000
gtzan_pop_00053,GroundTruth,beat,7.618000000
gtzan_pop_00053,GroundTruth,beat,8.563000000
gtzan_pop_00053,GroundTruth,beat,9.507000000
gtzan_pop_00053,GroundTruth,beat,10.445000000
gtzan_pop_00053,GroundTruth,beat,11.382000000
gtzan_pop_00053,GroundTruth,beat,12.317000000
gtzan_pop_00053,GroundTruth,beat,13.251000000
gtzan_pop_00053,GroundTruth,beat,14.198000000
gtzan_pop_00053,GroundTruth,beat,15.144000000
gtzan_pop_00053,GroundTruth,beat,16.058000000
gtzan_pop_00053,GroundTruth,beat,16.972000000
gtzan_pop_00053,GroundTruth,beat,17.887000000
gtzan_pop_00053,GroundTruth,beat,18.801000000
gtzan_pop_00053,GroundTruth,beat,19.715000000
gtzan_pop_00053,GroundTruth,beat,20.630000000
gtzan_pop_00053,GroundTruth,beat,21.574000000
gtzan_pop_00053,GroundTruth,beat,22.519000000
gtzan_pop_00053,GroundTruth,beat,23.429000000
gtzan_pop_00053,GroundTruth,beat,24.339000000
gtzan_pop_00053,GroundTruth,beat,25.279000000
gtzan_pop_00053,GroundTruth,beat,26.220000000
gtzan_pop_00053,GroundTruth,beat,27.160000000
gtzan_pop_00053,GroundTruth,beat,28.101000000
gtzan_pop_00053,GroundTruth,beat,28.989000000
gtzan_pop_00053,GroundTruth,beat,29.877000000
gtzan_pop_00053,GroundTruth,downbeat,0.994000000
gtzan_pop_00053,GroundTruth,downbeat,4.783000000
gtzan_pop_00053,GroundTruth,downbeat,8.563000000
gtzan_pop_00053,GroundTruth,downbeat,12.317000000
gtzan_pop_00053,GroundTruth,downbeat,16.058000000
gtzan_pop_00053,GroundTruth,downbeat,19.715000000
gtzan_pop_00053,GroundTruth,downbeat,23.429000000
gtzan_pop_00053,GroundTruth,downbeat,27.160000000
gtzan_pop_00053,Direct,beat,0.000000000
gtzan_pop_00053,Direct,beat,1.800000000
gtzan_pop_00053,Direct,beat,2.520000000
gtzan_pop_00053,Direct,beat,2.860000000
gtzan_pop_00053,Direct,beat,3.660000000
gtzan_pop_00053,Direct,beat,5.640000000
gtzan_pop_00053,Direct,beat,6.380000000
gtzan_pop_00053,Direct,beat,7.100000000
gtzan_pop_00053,Direct,beat,7.520000000
gtzan_pop_00053,Direct,beat,8.500000000
gtzan_pop_00053,Direct,beat,9.160000000
gtzan_pop_00053,Direct,beat,9.780000000
gtzan_pop_00053,Direct,beat,10.420000000
gtzan_pop_00053,Direct,beat,10.780000000
gtzan_pop_00053,Direct,beat,11.120000000
gtzan_pop_00053,Direct,beat,12.280000000
gtzan_pop_00053,Direct,beat,13.900000000
gtzan_pop_00053,Direct,beat,14.220000000
gtzan_pop_00053,Direct,beat,14.580000000
gtzan_pop_00053,Direct,beat,16.080000000
