case,source,midpoint_seconds,ibi_seconds
gtzan_pop_00053,GroundTruth,0.516500000,0.955000000
gtzan_pop_00053,GroundTruth,1.468000000,0.948000000
gtzan_pop_00053,GroundTruth,2.417000000,0.950000000
gtzan_pop_00053,GroundTruth,3.367000000,0.950000000
gtzan_pop_00053,GroundTruth,4.312500000,0.941000000
gtzan_pop_00053,GroundTruth,5.254000000,0.942000000
gtzan_pop_00053,GroundTruth,6.198500000,0.947000000
gtzan_pop_00053,GroundTruth,7.145000000,0.946000000
gtzan_pop_00053,GroundTruth,8.090500000,0.945000000
gtzan_pop_00053,GroundTruth,9.035000000,0.944000000
gtzan_pop_00053,GroundTruth,9.976000000,0.938000000
gtzan_pop_00053,GroundTruth,10.913500000,0.937000000
gtzan_pop_00053,GroundTruth,11.849500000,0.935000000
gtzan_pop_00053,GroundTruth,12.784000000,0.934000000
gtzan_pop_00053,GroundTruth,13.724500000,0.947000000
gtzan_pop_00053,GroundTruth,14.671000000,0.946000000
gtzan_pop_00053,GroundTruth,15.601000000,0.914000000
gtzan_pop_00053,GroundTruth,16.515000000,0.914000000
gtzan_pop_00053,GroundTruth,17.429500000,0.915000000
gtzan_pop_00053,GroundTruth,18.344000000,0.914000000
gtzan_pop_00053,GroundTruth,19.258000000,0.914000000
gtzan_pop_00053,GroundTruth,20.172500000,0.915000000
gtzan_pop_00053,GroundTruth,21.102000000,0.944000000
gtzan_pop_00053,GroundTruth,22.046500000,0.945000000
gtzan_pop_00053,GroundTruth,22.974000000,0.910000000
gtzan_pop_00053,GroundTruth,23.884000000,0.910000000
gtzan_pop_00053,GroundTruth,24.809000000,0.940000000
gtzan_pop_00053,GroundTruth,25.749500000,0.941000000
gtzan_pop_00053,GroundTruth,26.690000000,0.940000000
gtzan_pop_00053,GroundTruth,27.630500000,0.941000000
gtzan_pop_00053,GroundTruth,28.545000000,0.888000000
gtzan_pop_00053,GroundTruth,29.433000000,0.888000000
gtzan_pop_00053,Direct,0.900000000,1.800000000
gtzan_pop_00053,Direct,2.160000000,0.720000000
gtzan_pop_00053,Direct,2.690000000,0.340000000
gtzan_pop_00053,Direct,3.260000000,0.800000000
gtzan_pop_00053,Direct,4.650000000,1.980000000
gtzan_pop_00053,Direct,6.010000000,0.740000000
gtzan_pop_00053,Direct,6.740000000,0.720000000
gtzan_pop_00053,Direct,7.310000000,0.420000000
gtzan_pop_00053,Direct,8.010000000,0.980000000
gtzan_pop_00053,Direct,8.830000000,0.660000000
gtzan_pop_00053,Direct,9.470000000,0.620000000
gtzan_pop_00053,Direct,10.100000000,0.640000000
gtzan_pop_00053,Direct,10.600000000,0.360000000
gtzan_pop_00053,Direct,10.950000000,0.340000000
gtzan_pop_00053,Direct,11.700000000,1.160000000
gtzan_pop_00053,Direct,13.090000000,1.620000000
gtzan_pop_00053,Direct,14.060000000,0.320000000
gtzan_pop_00053,Direct,14.400000000,0.360000000
gtzan_pop_00053,Direct,15.330000000,1.500000000
gtzan_pop_00053,Direct,16.980000000,1.800000000
gtzan_pop_00053,Direct,18.250000000,0.740000000
gtzan_pop_00053,Direct,19.300000000,1.360000000
gtzan_pop_00053,Direct,20.360000000,0.760000000
gtzan_pop_00053,Direct,21.070000000,0.660000000
gtzan_pop_00053,Direct,21.560000000,0.320000000
gtzan_pop_00053,Direct,21.930000000,0.420000000
gtzan_pop_00053,Direct,22.940000000,1.600000000
gtzan_pop_00053,Direct,24.120000000,0.760000000
gtzan_pop_00053,Direct,24.840000000,0.680000000
gtzan_pop_00053,Direct,25.490000000,0.620000000
gtzan_pop_00053,Direct,26.160000000,0.720000000
gtzan_pop_00053,Direct,27.040000000,1.040000000
gtzan_pop_00053,Direct,27.740000000,0.360000000
gtzan_pop_00053,Direct,28.240000000,0.640000000
gtzan_pop_00053,Direct,28.920000000,0.720000000
gtzan_pop_00053,Fixed Semi-Markov,2.320000000,0.720000000
gtzan_pop_00053,Fixed Semi-Markov,3.030000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,3.760000000,0.760000000
gtzan_pop_00053,Fixed Semi-Markov,4.530000000,0.780000000
gtzan_pop_00053,Fixed Semi-Markov,5.280000000,0.720000000
gtzan_pop_00053,Fixed Semi-Markov,6.010000000,0.740000000
gtzan_pop_00053,Fixed Semi-Markov,6.740000000,0.720000000
gtzan_pop_00053,Fixed Semi-Markov,7.440000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,8.110000000,0.660000000
gtzan_pop_00053,Fixed Semi-Markov,8.770000000,0.660000000
gtzan_pop_00053,Fixed Semi-Markov,9.440000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,10.100000000,0.640000000
gtzan_pop_00053,Fixed Semi-Markov,10.770000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,11.490000000,0.740000000
gtzan_pop_00053,Fixed Semi-Markov,12.210000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,12.890000000,0.660000000
gtzan_pop_00053,Fixed Semi-Markov,13.560000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,14.240000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,14.950000000,0.740000000
gtzan_pop_00053,Fixed Semi-Markov,15.670000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,16.360000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,17.010000000,0.620000000
gtzan_pop_00053,Fixed Semi-Markov,17.660000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,18.310000000,0.620000000
gtzan_pop_00053,Fixed Semi-Markov,18.950000000,0.660000000
gtzan_pop_00053,Fixed Semi-Markov,19.630000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,20.360000000,0.760000000
gtzan_pop_00053,Fixed Semi-Markov,21.070000000,0.660000000
gtzan_pop_00053,Fixed Semi-Markov,21.770000000,0.740000000
gtzan_pop_00053,Fixed Semi-Markov,22.520000000,0.760000000
gtzan_pop_00053,Fixed Semi-Markov,23.320000000,0.840000000
gtzan_pop_00053,Fixed Semi-Markov,24.120000000,0.760000000
gtzan_pop_00053,Fixed Semi-Markov,24.840000000,0.680000000
gtzan_pop_00053,Fixed Semi-Markov,25.530000000,0.700000000
gtzan_pop_00053,Fixed Semi-Markov,26.200000000,0.640000000
gtzan_pop_00053,Fixed Semi-Markov,26.850000000,0.660000000
