case,time_seconds,casm_local_tau_seconds,tempo_bpm,reliability_proxy,fixed_global_tau_seconds
gtzan_pop_00053,0.000000000,0.320000000,187.500000000,0.006300000,0.700000000
gtzan_pop_00053,0.200000000,0.320000000,187.500000000,0.006300000,0.700000000
gtzan_pop_00053,0.260000000,0.320000000,187.500000000,0.001550000,0.700000000
gtzan_pop_00053,0.340000000,0.320000000,187.500000000,0.001550000,0.700000000
gtzan_pop_00053,0.440000000,0.320000000,187.500000000,0.001550000,0.700000000
gtzan_pop_00053,0.620000000,0.320000000,187.500000000,0.001700000,0.700000000
gtzan_pop_00053,0.740000000,0.320000000,187.500000000,0.002690000,0.700000000
gtzan_pop_00053,0.780000000,0.320000000,187.500000000,0.002890000,0.700000000
gtzan_pop_00053,0.940000000,0.320000000,187.500000000,0.006430000,0.700000000
gtzan_pop_00053,1.020000000,0.320000000,187.500000000,0.003750000,0.700000000
gtzan_pop_00053,1.260000000,0.320000000,187.500000000,0.002890000,0.700000000
gtzan_pop_00053,1.400000000,0.320000000,187.500000000,0.002890000,0.700000000
gtzan_pop_00053,1.560000000,0.320000000,187.500000000,0.002490000,0.700000000
gtzan_pop_00053,1.640000000,0.320000000,187.500000000,0.002490000,0.700000000
gtzan_pop_00053,1.800000000,0.320000000,187.500000000,0.002490000,0.700000000
gtzan_pop_00053,1.960000000,0.320000000,187.500000000,0.004970000,0.700000000
gtzan_pop_00053,2.060000000,0.320000000,187.500000000,0.005320000,0.700000000
gtzan_pop_00053,2.240000000,0.340000000,176.471000000,0.040650000,0.700000000
gtzan_pop_00053,2.520000000,0.740000000,81.081000000,0.050090000,0.700000000
gtzan_pop_00053,2.680000000,0.740000000,81.081000000,0.050120000,0.700000000
gtzan_pop_00053,2.860000000,0.740000000,81.081000000,0.050150000,0.700000000
gtzan_pop_00053,3.040000000,0.740000000,81.081000000,0.057690000,0.700000000
gtzan_pop_00053,3.220000000,0.740000000,81.081000000,0.057690000,0.700000000
gtzan_pop_00053,3.320000000,0.740000000,81.081000000,0.057690000,0.700000000
gtzan_pop_00053,3.380000000,0.740000000,81.081000000,0.057690000,0.700000000
gtzan_pop_00053,3.500000000,0.740000000,81.081000000,0.057690000,0.700000000
gtzan_pop_00053,3.660000000,0.740000000,81.081000000,0.063240000,0.700000000
gtzan_pop_00053,3.780000000,0.740000000,81.081000000,0.065240000,0.700000000
gtzan_pop_00053,4.040000000,0.740000000,81.081000000,0.065240000,0.700000000
gtzan_pop_00053,4.140000000,0.740000000,81.081000000,0.065240000,0.700000000
gtzan_pop_00053,4.280000000,0.740000000,81.081000000,0.056300000,0.700000000
gtzan_pop_00053,4.320000000,0.740000000,81.081000000,0.051780000,0.700000000
gtzan_pop_00053,4.560000000,0.720000000,83.333000000,0.051780000,0.700000000
gtzan_pop_00053,4.680000000,0.720000000,83.333000000,0.051780000,0.700000000
gtzan_pop_00053,4.780000000,0.720000000,83.333000000,0.057960000,0.700000000
gtzan_pop_00053,4.920000000,0.720000000,83.333000000,0.067230000,0.700000000
gtzan_pop_00053,5.020000000,0.720000000,83.333000000,0.067230000,0.700000000
gtzan_pop_00053,5.080000000,0.720000000,83.333000000,0.067230000,0.700000000
gtzan_pop_00053,5.280000000,0.720000000,83.333000000,0.066360000,0.700000000
gtzan_pop_00053,5.360000000,0.720000000,83.333000000,0.065790000,0.700000000
