case,source,midpoint_seconds,ibi_seconds
smc_117,GroundTruth,1.044850000,1.300300000
smc_117,GroundTruth,2.398350000,1.406700000
smc_117,GroundTruth,3.698650000,1.193900000
smc_117,GroundTruth,4.969000000,1.346800000
smc_117,GroundTruth,6.176450000,1.068100000
smc_117,GroundTruth,7.256200000,1.091400000
smc_117,GroundTruth,8.324350000,1.044900000
smc_117,GroundTruth,9.415650000,1.137700000
smc_117,GroundTruth,10.471750000,0.974500000
smc_117,GroundTruth,11.412000000,0.906000000
smc_117,GroundTruth,12.393000000,1.056000000
smc_117,GroundTruth,13.496000000,1.150000000
smc_117,GroundTruth,14.576000000,1.010000000
smc_117,GroundTruth,15.539500000,0.917000000
smc_117,GroundTruth,16.474000000,0.952000000
smc_117,GroundTruth,17.461000000,1.022000000
smc_117,GroundTruth,18.468000000,0.992000000
smc_117,GroundTruth,19.431500000,0.935000000
smc_117,GroundTruth,20.346000000,0.894000000
smc_117,GroundTruth,21.193500000,0.801000000
smc_117,GroundTruth,22.197500000,1.207000000
smc_117,GroundTruth,23.289000000,0.976000000
smc_117,GroundTruth,24.157000000,0.760000000
smc_117,GroundTruth,24.946500000,0.819000000
smc_117,GroundTruth,25.878500000,1.045000000
smc_117,GroundTruth,26.888500000,0.975000000
smc_117,GroundTruth,27.834500000,0.917000000
smc_117,GroundTruth,28.775000000,0.964000000
smc_117,GroundTruth,29.660500000,0.807000000
smc_117,GroundTruth,30.484500000,0.841000000
smc_117,GroundTruth,31.485500000,1.161000000
smc_117,GroundTruth,32.658000000,1.184000000
smc_117,GroundTruth,33.723500000,0.947000000
smc_117,GroundTruth,34.734000000,1.074000000
smc_117,GroundTruth,35.886000000,1.230000000
smc_117,GroundTruth,37.035000000,1.068000000
smc_117,GroundTruth,38.051000000,0.964000000
smc_117,GroundTruth,38.957000000,0.848000000
smc_117,Direct,0.510000000,0.100000000
smc_117,Direct,1.130000000,1.140000000
smc_117,Direct,2.060000000,0.720000000
smc_117,Direct,2.780000000,0.720000000
smc_117,Direct,3.550000000,0.820000000
smc_117,Direct,4.800000000,1.680000000
smc_117,Direct,5.980000000,0.680000000
smc_117,Direct,6.510000000,0.380000000
smc_117,Direct,7.220000000,1.040000000
smc_117,Direct,8.040000000,0.600000000
smc_117,Direct,8.640000000,0.600000000
smc_117,Direct,9.490000000,1.100000000
smc_117,Direct,10.570000000,1.060000000
smc_117,Direct,11.480000000,0.760000000
smc_117,Direct,12.970000000,2.220000000
smc_117,Direct,14.590000000,1.020000000
smc_117,Direct,15.550000000,0.900000000
smc_117,Direct,16.470000000,0.940000000
smc_117,Direct,17.420000000,0.960000000
smc_117,Direct,18.460000000,1.120000000
smc_117,Direct,19.470000000,0.900000000
smc_117,Direct,20.340000000,0.840000000
smc_117,Direct,21.180000000,0.840000000
smc_117,Direct,22.240000000,1.280000000
smc_117,Direct,23.370000000,0.980000000
smc_117,Direct,24.630000000,1.540000000
smc_117,Direct,26.250000000,1.700000000
smc_117,Direct,27.250000000,0.300000000
smc_117,Direct,27.850000000,0.900000000
smc_117,Direct,28.770000000,0.940000000
smc_117,Direct,29.710000000,0.940000000
smc_117,Direct,30.560000000,0.760000000
smc_117,Direct,31.690000000,1.500000000
