case,time_seconds,casm_local_tau_seconds,tempo_bpm,reliability_proxy,fixed_global_tau_seconds
smc_117,0.000000000,0.740000000,81.081000000,0.168190000,0.900000000
smc_117,0.460000000,0.740000000,81.081000000,0.154170000,0.900000000
smc_117,0.560000000,0.740000000,81.081000000,0.152310000,0.900000000
smc_117,0.840000000,0.740000000,81.081000000,0.149170000,0.900000000
smc_117,0.980000000,0.740000000,81.081000000,0.147480000,0.900000000
smc_117,1.080000000,0.740000000,81.081000000,0.145470000,0.900000000
smc_117,1.260000000,0.740000000,81.081000000,0.141230000,0.900000000
smc_117,1.560000000,0.740000000,81.081000000,0.129640000,0.900000000
smc_117,1.700000000,0.740000000,81.081000000,0.123950000,0.900000000
smc_117,1.980000000,0.740000000,81.081000000,0.118540000,0.900000000
smc_117,2.100000000,0.740000000,81.081000000,0.116090000,0.900000000
smc_117,2.300000000,0.740000000,81.081000000,0.110040000,0.900000000
smc_117,2.420000000,0.720000000,83.333000000,0.095740000,0.900000000
smc_117,2.620000000,0.720000000,83.333000000,0.093840000,0.900000000
smc_117,2.680000000,0.720000000,83.333000000,0.089020000,0.900000000
smc_117,2.740000000,0.720000000,83.333000000,0.091370000,0.900000000
smc_117,2.820000000,0.720000000,83.333000000,0.091370000,0.900000000
smc_117,3.140000000,0.720000000,83.333000000,0.091370000,0.900000000
smc_117,3.740000000,0.720000000,83.333000000,0.101140000,0.900000000
smc_117,3.960000000,0.720000000,83.333000000,0.108240000,0.900000000
smc_117,4.200000000,0.720000000,83.333000000,0.108240000,0.900000000
smc_117,4.300000000,0.720000000,83.333000000,0.108240000,0.900000000
smc_117,4.480000000,0.720000000,83.333000000,0.075970000,0.900000000
smc_117,4.560000000,0.720000000,83.333000000,0.075500000,0.900000000
smc_117,4.620000000,0.720000000,83.333000000,0.074790000,0.900000000
smc_117,4.720000000,0.720000000,83.333000000,0.073460000,0.900000000
smc_117,4.920000000,0.720000000,83.333000000,0.073460000,0.900000000
smc_117,5.000000000,0.720000000,83.333000000,0.055730000,0.900000000
smc_117,5.080000000,0.720000000,83.333000000,0.046670000,0.900000000
smc_117,5.160000000,0.720000000,83.333000000,0.036170000,0.900000000
smc_117,5.320000000,0.720000000,83.333000000,0.034010000,0.900000000
smc_117,5.420000000,0.720000000,83.333000000,0.034010000,0.900000000
smc_117,5.480000000,0.720000000,83.333000000,0.034010000,0.900000000
smc_117,5.640000000,0.720000000,83.333000000,0.032890000,0.900000000
smc_117,5.740000000,0.720000000,83.333000000,0.032890000,0.900000000
smc_117,5.800000000,0.720000000,83.333000000,0.033600000,0.900000000
smc_117,5.880000000,0.720000000,83.333000000,0.032210000,0.900000000
smc_117,5.980000000,0.720000000,83.333000000,0.032210000,0.900000000
smc_117,6.200000000,0.720000000,83.333000000,0.027730000,0.900000000
smc_117,6.320000000,0.580000000,103.448000000,0.020830000,0.900000000
smc_117,6.700000000,0.580000000,103.448000000,0.020830000,0.900000000
smc_117,6.900000000,0.580000000,103.448000000,0.020830000,0.900000000
smc_117,7.020000000,0.580000000,103.448000000,0.030120000,0.900000000
smc_117,7.260000000,0.580000000,103.448000000,0.038670000,0.900000000
smc_117,7.580000000,0.580000000,103.448000000,0.038670000,0.900000000
smc_117,7.740000000,0.580000000,103.448000000,0.038670000,0.900000000
smc_117,7.840000000,0.580000000,103.448000000,0.037760000,0.900000000
smc_117,8.160000000,0.580000000,103.448000000,0.035460000,0.900000000
smc_117,8.340000000,0.580000000,103.448000000,0.034610000,0.900000000
smc_117,8.600000000,0.580000000,103.448000000,0.035460000,0.900000000
smc_117,8.800000000,0.580000000,103.448000000,0.035460000,0.900000000
smc_117,8.940000000,0.580000000,103.448000000,0.035600000,0.900000000
smc_117,9.160000000,0.580000000,103.448000000,0.035670000,0.900000000
smc_117,9.360000000,0.580000000,103.448000000,0.035670000,0.900000000
smc_117,9.500000000,0.580000000,103.448000000,0.035600000,0.900000000
smc_117,9.660000000,0.580000000,103.448000000,0.035490000,0.900000000
smc_117,10.040000000,0.580000000,103.448000000,0.035450000,0.900000000
smc_117,10.180000000,0.580000000,103.448000000,0.032680000,0.900000000
smc_117,10.420000000,0.580000000,103.448000000,0.032680000,0.900000000
