panel,metric,tuning_size,combination_count,mean_raw,population_sd_raw,min_raw,max_raw,delta_vs_direct_pp
gtzan_beat,beat_fmeasure,0,1,0.8948580842013736,,0.8948580842013736,0.8948580842013736,0.0
gtzan_beat,beat_fmeasure,1,7,0.8955015538243493,0.0002704006579411749,0.8951011556953687,0.8958211143153093,0.06434696229756787
gtzan_beat,beat_fmeasure,2,21,0.8955628840008409,0.000178415380763606,0.8951081863262763,0.8957636068908883,0.07047997994673594
gtzan_beat,beat_fmeasure,4,35,0.8955065533321573,0.00017393538485846637,0.8952268143012235,0.8957508114420605,0.06484691307837576
gtzan_beat,beat_fmeasure,7,1,0.8953434153195663,,0.8953434153195663,0.8953434153195663,0.04853311181927111
gtzan_beat,beat_cmlt,0,1,0.8055241089747935,,0.8055241089747935,0.8055241089747935,0.0
gtzan_beat,beat_cmlt,1,7,0.8092706450532521,0.0019323056990682723,0.8065563990547374,0.812401192308211,0.374653607845854
gtzan_beat,beat_cmlt,2,21,0.809764908829363,0.0011037142031007261,0.8066782409523036,0.8121128238700507,0.4240799854569488
gtzan_beat,beat_cmlt,4,35,0.810236369594624,0.0007360142857434423,0.8094104271409185,0.8121128238700507,0.4712260619830433
gtzan_beat,beat_cmlt,7,1,0.8106324836792859,,0.8106324836792859,0.8106324836792859,0.5108374704492324
gtzan_beat,beat_amlt,0,1,0.8986722530578288,,0.8986722530578288,0.8986722530578288,0.0
gtzan_beat,beat_amlt,1,7,0.9032991019363144,0.0022707549852650413,0.9000998315938498,0.9067601273413461,0.46268488784855233
gtzan_beat,beat_amlt,2,21,0.9039608354775669,0.001391636676484698,0.9001469537550888,0.9066666692227419,0.5288582419738064
gtzan_beat,beat_amlt,4,35,0.9046527598363115,0.0010868733831533623,0.9033610179482662,0.9067939894407552,0.5980506778482719
gtzan_beat,beat_amlt,7,1,0.9055207788131425,,0.9055207788131425,0.9055207788131425,0.6848525755313695
gtzan_downbeat,downbeat_fmeasure,0,1,0.7842041279731435,,0.7842041279731435,0.7842041279731435,0.0
gtzan_downbeat,downbeat_fmeasure,1,7,0.7915606308956912,0.001112934026627845,0.7900307586952868,0.7927555747632296,0.7356502922547636
gtzan_downbeat,downbeat_fmeasure,2,21,0.7921699738442989,0.0006834871210222792,0.789958106051761,0.7934423093606521,0.7965845871155341
gtzan_downbeat,downbeat_fmeasure,4,35,0.7918147108607441,0.0006227129593514491,0.7906063950545645,0.792919642188606,0.7610582887600525
gtzan_downbeat,downbeat_fmeasure,7,1,0.7908669649274843,,0.7908669649274843,0.7908669649274843,0.6662836954340778
gtzan_downbeat,downbeat_cmlt,0,1,0.6789836811441256,,0.6789836811441256,0.6789836811441256,0.0
gtzan_downbeat,downbeat_cmlt,1,7,0.7148458922574534,0.0009810380671861625,0.713384311113518,0.7158609832946851,3.586221111332788
gtzan_downbeat,downbeat_cmlt,2,21,0.7155224407559084,0.0009024955641544187,0.713357474908434,0.7175564946606066,3.653875961178288
gtzan_downbeat,downbeat_cmlt,4,35,0.715345860738141,0.0006743493092917325,0.7143215988383258,0.7175564946606066,3.6362179594015442
gtzan_downbeat,downbeat_cmlt,7,1,0.7147934068928178,,0.7147934068928178,0.7147934068928178,3.5809725748692234
gtzan_downbeat,downbeat_amlt,0,1,0.7893379478375557,,0.7893379478375557,0.7893379478375557,0.0
gtzan_downbeat,downbeat_amlt,1,7,0.850863051491592,0.002811082016249856,0.8469139927321947,0.8558235129091231,6.1525103654036295
gtzan_downbeat,downbeat_amlt,2,21,0.8514660329898869,0.001526503133711558,0.8469195487408445,0.8549433123189191,6.212808515233115
gtzan_downbeat,downbeat_amlt,4,35,0.8521408201175521,0.0013252215473180762,0.8506235220208554,0.8558930643515567,6.2802872279996365
gtzan_downbeat,downbeat_amlt,7,1,0.8525365103160145,,0.8525365103160145,0.8525365103160145,6.319856247845879
smc_beat,beat_fmeasure,0,1,0.6502497771278297,,0.6502497771278297,0.6502497771278297,0.0
smc_beat,beat_fmeasure,1,7,0.6547418267638507,0.002975623226621381,0.6496887377134934,0.6576139596187013,0.44920496360210116
smc_beat,beat_fmeasure,2,21,0.6558255226943219,0.002253322309357807,0.6510471153680889,0.660203767471667,0.5575745566492207
smc_beat,beat_fmeasure,4,35,0.6569820200764204,0.0018813135913756944,0.6546450277165287,0.6615450915113793,0.673224294859065
smc_beat,beat_fmeasure,7,1,0.6576139596187013,,0.6576139596187013,0.6576139596187013,0.7364182490871563
smc_beat,beat_cmlt,0,1,0.6031252961411672,,0.6031252961411672,0.6031252961411672,0.0
smc_beat,beat_cmlt,1,7,0.6207222319952137,0.009059110262307124,0.6065237594301751,0.6335158092708197,1.7596935854046536
smc_beat,beat_cmlt,2,21,0.6241414026398994,0.005610365159266148,0.6093746959817646,0.6339394620066885,2.10161064987322
smc_beat,beat_cmlt,4,35,0.6269158640330512,0.004521584783317324,0.6210296997082068,0.6378206852917001,2.379056789188405
smc_beat,beat_cmlt,7,1,0.6292443559606538,,0.6292443559606538,0.6292443559606538,2.611905981948659
smc_beat,beat_amlt,0,1,0.7212584700548198,,0.7212584700548198,0.7212584700548198,0.0
smc_beat,beat_amlt,1,7,0.7473776957284055,0.008336415660102701,0.7342560434133681,0.7589673472276188,2.611922567358571
smc_beat,beat_amlt,2,21,0.7523068736939672,0.004467375086857053,0.735918363722578,0.7589673472276188,3.1048403639147404
smc_beat,beat_amlt,4,35,0.7547075782163272,0.003015678587811284,0.7492702321849788,0.7589673472276188,3.344910816150737
smc_beat,beat_amlt,7,1,0.7589673472276188,,0.7589673472276188,0.7589673472276188,3.7708877172799027
