evaluation_panel,component,metric,scale,combination_count,mean_raw,population_sd_raw,min_raw,max_raw,mean_pct,population_sd_pct,min_pct,max_pct
gtzan_final1,beat,beat_fmeasure,0,1,0.8948580842013736,,0.8948580842013736,0.8948580842013736,89.48580842013736,,89.48580842013736,89.48580842013736
gtzan_final1,beat,beat_fmeasure,1,7,0.8955015538243493,0.0002704006579411749,0.8951011556953687,0.8958211143153093,89.55015538243492,0.027040065794117493,89.51011556953688,89.58211143153093
gtzan_final1,beat,beat_fmeasure,2,21,0.8955628840008409,0.000178415380763606,0.8951081863262763,0.8957636068908883,89.5562884000841,0.0178415380763606,89.51081863262763,89.57636068908883
gtzan_final1,beat,beat_fmeasure,4,35,0.8955065533321575,0.00017393538485846637,0.8952268143012235,0.8957508114420605,89.55065533321574,0.017393538485846637,89.52268143012235,89.57508114420605
gtzan_final1,beat,beat_fmeasure,7,1,0.8953434153195663,,0.8953434153195663,0.8953434153195663,89.53434153195663,,89.53434153195663,89.53434153195663
gtzan_final1,beat,beat_cmlt,0,1,0.8055241089747935,,0.8055241089747935,0.8055241089747935,80.55241089747935,,80.55241089747935,80.55241089747935
gtzan_final1,beat,beat_cmlt,1,7,0.809270645053252,0.0019323056990682725,0.8065563990547374,0.812401192308211,80.92706450532519,0.19323056990682724,80.65563990547375,81.2401192308211
gtzan_final1,beat,beat_cmlt,2,21,0.809764908829363,0.0011037142031007261,0.8066782409523036,0.8121128238700507,80.9764908829363,0.11037142031007262,80.66782409523036,81.21128238700507
gtzan_final1,beat,beat_cmlt,4,35,0.8102363695946241,0.0007360142857434423,0.8094104271409185,0.8121128238700507,81.02363695946241,0.07360142857434422,80.94104271409185,81.21128238700507
gtzan_final1,beat,beat_cmlt,7,1,0.8106324836792859,,0.8106324836792859,0.8106324836792859,81.06324836792858,,81.06324836792858,81.06324836792858
gtzan_final1,beat,beat_amlt,0,1,0.8986722530578288,,0.8986722530578288,0.8986722530578288,89.86722530578288,,89.86722530578288,89.86722530578288
gtzan_final1,beat,beat_amlt,1,7,0.9032991019363145,0.002270754985265041,0.9000998315938498,0.9067601273413461,90.32991019363145,0.22707549852650408,90.00998315938497,90.67601273413462
gtzan_final1,beat,beat_amlt,2,21,0.9039608354775669,0.0013916366764846983,0.9001469537550888,0.9066666692227419,90.39608354775669,0.13916366764846982,90.01469537550888,90.66666692227419
gtzan_final1,beat,beat_amlt,4,35,0.9046527598363115,0.0010868733831533625,0.9033610179482662,0.9067939894407552,90.46527598363116,0.10868733831533625,90.33610179482662,90.67939894407552
gtzan_final1,beat,beat_amlt,7,1,0.9055207788131425,,0.9055207788131425,0.9055207788131425,90.55207788131425,,90.55207788131425,90.55207788131425
gtzan_final1,downbeat,downbeat_fmeasure,0,1,0.7842041279731435,,0.7842041279731435,0.7842041279731435,78.42041279731436,,78.42041279731436,78.42041279731436
gtzan_final1,downbeat,downbeat_fmeasure,1,7,0.7915606308956912,0.001112934026627845,0.7900307586952868,0.7927555747632296,79.15606308956912,0.1112934026627845,79.00307586952869,79.27555747632296
gtzan_final1,downbeat,downbeat_fmeasure,2,21,0.7921699738442989,0.0006834871210222792,0.789958106051761,0.7934423093606521,79.21699738442989,0.06834871210222793,78.9958106051761,79.3442309360652
gtzan_final1,downbeat,downbeat_fmeasure,4,35,0.7918147108607441,0.0006227129593514491,0.7906063950545645,0.792919642188606,79.18147108607441,0.06227129593514491,79.06063950545645,79.2919642188606
gtzan_final1,downbeat,downbeat_fmeasure,7,1,0.7908669649274843,,0.7908669649274843,0.7908669649274843,79.08669649274843,,79.08669649274843,79.08669649274843
gtzan_final1,downbeat,downbeat_cmlt,0,1,0.6789836811441256,,0.6789836811441256,0.6789836811441256,67.89836811441255,,67.89836811441255,67.89836811441255
gtzan_final1,downbeat,downbeat_cmlt,1,7,0.7148458922574533,0.0009810380671861625,0.713384311113518,0.7158609832946851,71.48458922574534,0.09810380671861625,71.3384311113518,71.58609832946851
gtzan_final1,downbeat,downbeat_cmlt,2,21,0.7155224407559084,0.0009024955641544188,0.713357474908434,0.7175564946606066,71.55224407559085,0.09024955641544188,71.3357474908434,71.75564946606066
gtzan_final1,downbeat,downbeat_cmlt,4,35,0.7153458607381409,0.0006743493092917325,0.7143215988383258,0.7175564946606066,71.53458607381408,0.06743493092917326,71.43215988383258,71.75564946606066
gtzan_final1,downbeat,downbeat_cmlt,7,1,0.7147934068928178,,0.7147934068928178,0.7147934068928178,71.47934068928178,,71.47934068928178,71.47934068928178
gtzan_final1,downbeat,downbeat_amlt,0,1,0.7893379478375557,,0.7893379478375557,0.7893379478375557,78.93379478375557,,78.93379478375557,78.93379478375557
gtzan_final1,downbeat,downbeat_amlt,1,7,0.850863051491592,0.002811082016249856,0.8469139927321947,0.8558235129091231,85.0863051491592,0.2811082016249856,84.69139927321947,85.5823512909123
gtzan_final1,downbeat,downbeat_amlt,2,21,0.8514660329898867,0.0015265031337115581,0.8469195487408445,0.8549433123189191,85.14660329898867,0.1526503133711558,84.69195487408444,85.4943312318919
gtzan_final1,downbeat,downbeat_amlt,4,35,0.8521408201175521,0.001325221547318076,0.8506235220208554,0.8558930643515567,85.21408201175521,0.1325221547318076,85.06235220208555,85.58930643515566
gtzan_final1,downbeat,downbeat_amlt,7,1,0.8525365103160145,,0.8525365103160145,0.8525365103160145,85.25365103160145,,85.25365103160145,85.25365103160145
smc_fold0,beat,beat_fmeasure,0,1,0.6502497771278297,,0.6502497771278297,0.6502497771278297,65.02497771278297,,65.02497771278297,65.02497771278297
smc_fold0,beat,beat_fmeasure,1,7,0.6547418267638507,0.002975623226621381,0.6496887377134934,0.6576139596187013,65.47418267638507,0.2975623226621381,64.96887377134935,65.76139596187012
smc_fold0,beat,beat_fmeasure,2,21,0.6558255226943219,0.0022533223093578066,0.6510471153680889,0.660203767471667,65.5825522694322,0.22533223093578067,65.10471153680889,66.0203767471667
smc_fold0,beat,beat_fmeasure,4,35,0.6569820200764204,0.0018813135913756946,0.6546450277165287,0.6615450915113793,65.69820200764204,0.18813135913756945,65.46450277165286,66.15450915113793
smc_fold0,beat,beat_fmeasure,7,1,0.6576139596187013,,0.6576139596187013,0.6576139596187013,65.76139596187012,,65.76139596187012,65.76139596187012
smc_fold0,beat,beat_cmlt,0,1,0.6031252961411672,,0.6031252961411672,0.6031252961411672,60.31252961411672,,60.31252961411672,60.31252961411672
smc_fold0,beat,beat_cmlt,1,7,0.6207222319952137,0.009059110262307124,0.6065237594301751,0.6335158092708197,62.07222319952137,0.9059110262307124,60.65237594301751,63.351580927081976
smc_fold0,beat,beat_cmlt,2,21,0.6241414026398993,0.005610365159266148,0.6093746959817646,0.6339394620066885,62.41414026398993,0.5610365159266149,60.93746959817646,63.39394620066885
smc_fold0,beat,beat_cmlt,4,35,0.6269158640330512,0.004521584783317324,0.6210296997082068,0.6378206852917001,62.691586403305124,0.4521584783317324,62.10296997082067,63.78206852917001
smc_fold0,beat,beat_cmlt,7,1,0.6292443559606538,,0.6292443559606538,0.6292443559606538,62.92443559606538,,62.92443559606538,62.92443559606538
smc_fold0,beat,beat_amlt,0,1,0.7212584700548198,,0.7212584700548198,0.7212584700548198,72.12584700548199,,72.12584700548199,72.12584700548199
smc_fold0,beat,beat_amlt,1,7,0.7473776957284055,0.008336415660102703,0.7342560434133681,0.7589673472276188,74.73776957284055,0.8336415660102703,73.42560434133681,75.89673472276188
smc_fold0,beat,beat_amlt,2,21,0.7523068736939671,0.004467375086857053,0.735918363722578,0.7589673472276188,75.2306873693967,0.4467375086857053,73.5918363722578,75.89673472276188
smc_fold0,beat,beat_amlt,4,35,0.7547075782163273,0.0030156785878112844,0.7492702321849788,0.7589673472276188,75.47075782163273,0.30156785878112846,74.92702321849788,75.89673472276188
smc_fold0,beat,beat_amlt,7,1,0.7589673472276188,,0.7589673472276188,0.7589673472276188,75.89673472276188,,75.89673472276188,75.89673472276188
