label,family,tuning_size,tuning_folds,selected_candidate_hash,configuration_hash,selected_parameters,smc_piece_count,gtzan_piece_count,smc_beat_fmeasure,smc_beat_cmlt,smc_beat_amlt,gtzan_beat_fmeasure,gtzan_beat_cmlt,gtzan_beat_amlt,gtzan_downbeat_fmeasure,gtzan_downbeat_cmlt,gtzan_downbeat_amlt
direct,direct,0,,,6acfad49ba1080aa053ac1950e3a73d11af7efd1cdfecdd111329a76a544d92a,{},27,993,0.6502497771278297,0.6031252961411672,0.7212584700548198,0.8921548143412252,0.7982278386537647,0.9026568785601621,0.7870865932206781,0.6776588359517884,0.7990018544004599
1f_1,exhaustive_1f,1,1,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,c3311ff6a0bfa0d0344838fdc923b7627ccbe32332a2fb9f17664c2804eca22a,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.85,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6576139596187013,0.6292443559606538,0.7589673472276188,0.8926876534910437,0.8018783250478511,0.9066984033218329,0.7908900869895549,0.7009166387201801,0.8543926402418801
1f_2,exhaustive_1f,1,2,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,5be2d0f5c6f59da2a378d4c9f53cb7e42ffc45707af8b8a1380bee87e190e748,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.12,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6554164710929021,0.6227786947252556,0.7521592382813519,0.8926138904692752,0.8008184041401912,0.9057587807077065,0.7913342214785298,0.6997330491487425,0.8554198966282873
1f_3,exhaustive_1f,1,3,02e78e97b3575ed22c4a68dcfc81f511bc3633ac348bf19828f51f4ed80f53aa,673f7dc9aab24d385aa78d96e59613dfdf3d08df31f4868f8e134d82204409b6,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.08,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6572348355694944,0.6225886088896204,0.7486299006623943,0.8926536412446233,0.8009726803973013,0.9058942423241504,0.7905949743518375,0.6998978246414014,0.8557394647656604
1f_4,exhaustive_1f,1,4,c9b58fc4e32a1fcd463357f7adf6d9a5409bb428ed71bc6b9578383c6a67d08e,8296140de7df2ce9f389348f3f206cfcfbf041706fafcb6ee08db1ede3773a64,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.12,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.8,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.3}",27,993,0.6575466402677463,0.6335158092708197,0.7509602858163552,0.8922266048613376,0.8014711740634515,0.9059170386407104,0.7908344780355122,0.7006879693511525,0.8536667844829133
1f_5,exhaustive_1f,1,5,5ae7853db9345eae791a827e2178f0ffa4574a12583ca0c52ae8faa89e5eecc7,8bf8a58ac25af7365d8cf85a2903701702866727ea736e40536a4940dc04f4f6,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.18,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":1.0,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6510471153680889,0.6093746959817646,0.735918363722578,0.8924024088751941,0.7990706549699964,0.9036372777160467,0.7892580107380369,0.6955184021989869,0.8512463888263737
1f_6,exhaustive_1f,1,6,5449db395c98788f75d1c9169835e8deeff5c25cc7da68199a488f9e66217a64,4e9ba38be773530116ff8b1598997555fbeacc91f43f1a2be404c31459e18b7a,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.18,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6546450277165287,0.6210296997082068,0.7507526909751718,0.8925976401624354,0.8006461752307845,0.9054714449026381,0.7905928568535106,0.6987294741870193,0.8536558156084749
1f_7,exhaustive_1f,1,7,653f3d357e6b4c512bcbc23898a498c6a99848064662301b22c619ec10718fe1,0c26435216c378415e0f6fb0e11ee26499c16f19af348869e76862f791e47d16,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.08,""duration_weight"":12.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":1.0,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.3}",27,993,0.6496887377134934,0.6065237594301751,0.7342560434133681,0.8923556323994059,0.7994509841304471,0.9040599387761457,0.7877529635656603,0.6962570845343321,0.853263146169312
2f_1_2,exhaustive_2f,2,"1,2",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6552076156208889,0.6227523525936504,0.7524753438606154,0.8925694031120669,0.8007169876721455,0.9053670590344912,0.7906372966885902,0.6987627956727133,0.8538915396613961
2f_1_3,exhaustive_2f,2,"1,3",8178e190c878986ab60533dcb2f17871f6b125943ba9905e572163eb9d2aefd3,25b411a7ecc93c5128004b996636c5c5c825f4d6f97d31a087aa3a92cbc2a862,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.08,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.85,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6596411795673068,0.6290806122566238,0.7551219040293977,0.892546603048219,0.8012715823218094,0.9058939537591308,0.790870034951094,0.7009207987680673,0.8560044365489426
2f_1_4,exhaustive_2f,2,"1,4",252f7adc4993a27ce00bdc1dad7e2b3f27228ec9dc04b8980d8c60817d32a6e4,c7c810f48e59b3ec70d519087706ab5c38f4152cc186018061a79ea33df16adf,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.18,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.8,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.2}",27,993,0.6565362570515764,0.6339394620066885,0.753973703150458,0.8921936514149004,0.8019518302896365,0.905748524218409,0.7901501328761917,0.7004730523653238,0.8548649132380642
