scale,method,candidate_hash,seed,piece_count,beat_fmeasure,beat_fmeasure_finite_count,beat_cmlt,beat_cmlt_finite_count,beat_amlt,beat_amlt_finite_count,downbeat_fmeasure,downbeat_fmeasure_finite_count,downbeat_cmlt,downbeat_cmlt_finite_count,downbeat_amlt,downbeat_amlt_finite_count
1,CASM-Scale-1F,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,0,993,0.8926138904692752,993,0.8008184041401912,993,0.9057587807077065,993,0.7913342214785298,993,0.6997330491487425,993,0.8554198966282873,993
1,CASM-Scale-1F,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,1,993,0.8956930001643597,993,0.8095486226565665,993,0.9033610179482662,993,0.7925783674620164,993,0.7157154842456908,993,0.8509708787315051,993
1,CASM-Scale-1F,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,2,993,0.8872867488523828,993,0.7942746775920047,993,0.8981813720456798,993,0.7826128867559585,993,0.6913931180071732,993,0.8427446441251045,993
2,CASM-Scale-2F,70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,0,993,0.8925694031120669,993,0.8007169876721455,993,0.9053670590344912,993,0.7906372966885902,993,0.6987627956727133,993,0.8538915396613961,993
2,CASM-Scale-2F,70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,1,993,0.8956640498736379,993,0.8094104271409185,993,0.9034922647257135,993,0.792086328883938,993,0.7151432971176125,993,0.8506235220208554,993
2,CASM-Scale-2F,70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,2,993,0.8873104427241241,993,0.7941997105110747,993,0.8978616465464134,993,0.7828666419982269,993,0.6909473216876291,993,0.8425282042429647,993
4,CASM-Scale-4F,251c96b23223b2e4ddef7f4ab85592663a1c27fcd6d62b1a5d1ef5625ed01f71,0,993,0.8927303858590241,993,0.8016974081187908,993,0.9060563476032303,993,0.7915986455242192,993,0.7010246312479439,993,0.8560025202510195,993
4,CASM-Scale-4F,251c96b23223b2e4ddef7f4ab85592663a1c27fcd6d62b1a5d1ef5625ed01f71,1,993,0.8953382711927912,993,0.8108148021461284,993,0.9055521213597619,993,0.7916081954341574,993,0.7154640975248165,993,0.8530363196026607,993
4,CASM-Scale-4F,251c96b23223b2e4ddef7f4ab85592663a1c27fcd6d62b1a5d1ef5625ed01f71,2,993,0.8872072546256013,993,0.7946092253388494,993,0.8999502623472956,993,0.7848157701163759,993,0.6940582587970145,993,0.845024012115896,993
7,CASM-Scale-7F,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,0,993,0.8926876534910437,993,0.8018783250478511,993,0.9066984033218329,993,0.7908900869895549,993,0.7009166387201801,993,0.8543926402418801,993
7,CASM-Scale-7F,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,1,993,0.8953434153195663,993,0.8106324836792859,993,0.9055207788131425,993,0.7908669649274843,993,0.7147934068928178,993,0.8525365103160145,993
7,CASM-Scale-7F,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,2,993,0.8871625013992671,993,0.7949974944405913,993,0.8996182429453788,993,0.7849711631691054,993,0.693567855355824,993,0.8456129710747535,993
